longitude,latitude
-90.159722,38.330556
-122.908333,38.123056
-87.401398,39.48615
-89.98783,34.82166
-76.653056,38.9025
-87.536957,38.113947
-73.103056,41.1525
-120.427778,34.725556
-117.264088,32.952124
-119.940278,38.963611
-90.148031,38.890186
-89.998611,29.981944
-118.322222,33.342222
-77.051667,38.903611
-93.299886,37.256136
-121.132222,37.371111
-74.12525,40.59664
-104.987625,39.751184
-95.603056,37.041667
-76.203889,39.563333
-122.588151,45.25928
-75.511002,41.570553
-79.746389,40.610833
-84.065294,33.591077
-122.064722,47.5525
-78.768056,36.141111
-148.9676,63.7232
-118.823889,34.398611
-120.02551,34.46245
-122.633579,41.726892
-77.582778,35.988333
-87.798634,42.713897
-80.484779,41.215014
-87.156667,35.933333
-95.281111,29.705833
-118.96652,37.64571
-87.949444,45.784167
-83.553333,40.303056
-117.22764,33.78942
-121.986389,36.983889
-91.188056,30.464444
-86.110521,41.742598
-78.370833,40.535278
-86.949722,35.750278
-80.651944,41.098333
-75.4325,40.611944
-121.641918,38.006311
-76.631673,39.462029
-75.274059,39.888903
-88.528611,44.075833
-116.873611,33.927778
-87.99057,41.66812
-86.993,45.237
-122.55441,48.95074
-75.6106,38.6539
-71.760833,42.275
-74.861491,39.68425
-91.21,29.715278
-84.202222,39.426389
-97.484099,35.320105
-84.195,39.813889
-87.74,43.669444
-93.213333,45.41
-111.9625,33.466667
-76.43808,36.90118
-75.730833,39.5675
-117.563939,34.426126
-112.04601,33.45793
-87.334722,41.600278
-72.55,41.260833
-85.57648,38.13784
-89.230833,40.2625
-81.3625,28.596389
-106.688611,35.013333
-81.902778,41.154722
-76.729444,39.101111
-88.955833,42.774444
-94.711811,32.378682
-91.547222,42.094167
-73.190278,41.183611
-88.028333,30.958333
-121.6325,36.697222
-73.167428,42.63668
-85.018333,41.219722
-70.818889,42.814167
-116.942092,32.791194
-80.868318,34.131262
-121.669722,40.884444
-108.739444,39.106389
-120.691667,35.633333
-118.21071,33.92899
-75.926667,40.320278
-121.473333,38.480556
-87.674167,42.061857
-121.7659,37.6849
-74.806671,40.515262
-77.76772,38.47367
-80.766389,35.248611
-74.0051,40.277647
-86.623301,36.150742
-121.7734,38.53445
-122.296189,38.310942
-110.774357,32.04767
-97.562222,35.191111
-87.557778,41.616389
-121.103889,38.937778
-70.879162,41.633278
-119.586944,37.750278
-72.338333,43.364444
-118.031944,33.795833
-121.618549,39.138773
-75.786111,40.511111
-111.06352,32.425261
-82.075802,34.988706
-119.741966,36.705506
-119.879511,34.414942
-73.585,41.003611
-88.229531,40.123796
-119.794167,34.445278
-104.998056,39.657222
-121.514167,38.848333
-76.932778,38.851667
-87.8093,42.504722
-87.20355,30.525367
-92.881389,44.739722
-77.1219,38.583226
-87.968889,45.799444
-82.585,42.624444
-77.838611,34.364167
-75.491944,39.761111
-81.853635,33.739963
-121.268523,37.950741
-122.385833,40.584722
-75.797317,39.305021
-81.581111,41.216389
-83.87381,36.019186
-118.84,34.171667
-119.415833,34.386944
-88.103333,42.445833
-117.128752,32.836461
-115.135278,36.174444
-121.913889,47.184167
-86.006667,39.260556
-92.887778,44.75
-88.436389,43.756111
-114.622669,32.700509
-112.182222,36.059722
-84.3942,39.528439
-116.21537,33.70853
-83.778056,42.155556
-121.888575,37.339666
-106.403889,31.753611
-81.948611,26.473611
-118.784444,35.208333
-77.316389,37.637778
-117.7514,34.06703
-86.791521,32.332659
-94.346389,30.544444
-90.198709,38.624216
-106.630556,31.930556
-79.657187,32.941023
-73.9389,42.79901
-88.400045,45.794997
-84.49761,38.06503
-72.631667,41.784722
-118.683757,34.276362
-80.680819,25.39122
-95.6739,30.039534
-120.654167,35.283889
-117.92391,34.1365
-116.768225,32.842242
-122.208611,39.521111
-122.116899,37.710229
-117.49201,34.10002
-81.460443,39.432117
-116.54101,33.85275
-81.816567,35.130396
-80.346442,40.995848
-78.728035,35.158686
-82.793463,42.731394
-118.1272,34.1326
-111.0,32.29
-121.731571,36.495767
-87.884,43.075
-74.882222,40.107222
-101.765833,47.325
-121.185833,38.675
-94.497738,39.183924
-89.959963,38.726573
-119.503611,36.5975
-90.350463,38.650259
-73.6489,43.01209
-122.20337,37.482934
-87.919167,37.916111
-84.36612,39.2787
-87.9,43.181
-80.658611,28.024444
-90.32408,39.110539
-74.220556,43.973333
-81.503547,41.106486
-89.809739,39.396075
-87.981667,42.290556
-84.393795,42.798339
-87.518333,44.453056
-122.2684,37.7986
-121.961823,37.535833
-117.92568,33.67464
-83.041667,39.992222
-80.876002,34.132628
-81.552367,39.323533
-71.72,41.615237
-79.72941,40.613949
-120.420556,34.452222
-86.06085,39.789486
-90.019707,35.217501
-75.309167,40.112222
-83.402778,42.388056
-89.3625,43.1175
-93.466667,41.699722
-88.005556,43.092778
-94.376623,39.30309
-68.613056,44.649444
-97.005534,28.836165
-83.78875,39.4299
-88.499046,42.580009
-89.429722,43.459722
-78.47888,43.22386
-119.701111,34.421389
-77.55479,43.16545
-73.443056,41.399167
-118.413333,34.106389
-119.717356,36.819111
-121.57646,40.53999
-82.524444,27.299722
-118.778995,36.567178
-119.77319,36.781333
-71.213889,42.383611
-72.86884,44.52839
-94.700244,39.300033
-82.959773,40.0877
-118.408333,34.104167
-82.465146,27.740033
-92.711389,46.855278
-82.454722,27.928056
-111.663056,40.253611
-123.978056,41.845278
-85.71025,38.26355
-82.108333,41.365833
-76.80221,42.11096
-76.989722,41.246111
-81.788731,33.342226
-70.023598,41.975804
-76.681389,40.272222
-80.236944,36.165556
-76.699444,39.965278
-89.037775,42.334982
-117.27411,34.10688
-91.662222,41.992222
-84.72049,39.83562
-110.974681,32.222058
-101.941111,43.746944
-88.284444,43.333611
-117.303611,34.523333
-119.644167,36.282222
-74.460281,39.530256
-119.7062,37.71325
-122.356111,37.95
-72.678056,42.061667
-79.88452,37.28342
-90.244257,38.658645
-94.265373,39.407452
-89.606943,40.68742
-88.055089,41.575709
-78.200833,38.857222
-75.971667,37.289722
-111.86507,33.41045
-122.193333,37.011944
-68.632222,44.076667
-109.769722,35.077222
-78.957528,34.975107
-81.422455,41.673006
-79.692811,40.428076
-75.455556,39.812222
-88.81864,43.002
-88.57251,37.05822
-86.598872,35.732878
-119.313611,34.2804
-86.236667,41.693611
-122.077,37.3735
-74.441067,40.601725
-87.493623,41.63946
-91.604167,41.707222
-80.448611,25.924167
-90.284545,38.62116
-80.826596,33.817902
-110.878067,32.204411
-71.445,42.701944
-80.622053,40.359631
-95.945897,41.207958
-81.310556,28.746111
-106.486712,31.763076
-80.326811,25.586384
-121.921944,47.374444
